sport,ordering_id,mask,step,suffix,pretty_name,table_name,search_visible,filter_type,type,dependent_equivalency,dependent_on,enum_values
Baseball,1,,,,Throw Options,baseball_throw_options,1,5,5,,,"Left,Right"
Baseball,2,,,,Bat Options,baseball_bat_options,1,5,5,,,"Left,Right,Switch"
Baseball,4,,0.1,mph,Fast Ball velo,baseball_fast_ball_velo,1,11,2,equals,baseball_pitcher,
Baseball,5,,0.1,mph,Curve Ball velo,baseball_curve_ball_velo,1,11,2,equals,baseball_pitcher,
Baseball,6,,0.1,mph,Change Up velo,baseball_change_up_velo,1,11,2,equals,baseball_pitcher,
Baseball,8,,,,Start/Relieve,baseball_start_relieve,1,5,5,equals,baseball_pitcher,"Start,Relieve,Both"
Baseball,9,,,,Innings Pitched,baseball_innings_pitched,1,11,2,equals,baseball_pitcher,
Baseball,10,,,,Holds,baseball_holds,1,11,2,equals,baseball_pitcher,
Baseball,11,,,,Saves,baseball_saves,1,11,2,equals,baseball_pitcher,
Baseball,12,,,,Wins,baseball_wins,1,11,2,equals,baseball_pitcher,
Baseball,13,,,,Losses,baseball_losses,1,11,2,equals,baseball_pitcher,
Baseball,14,,0.1,,ERA,baseball_era,1,11,2,equals,baseball_pitcher,
Baseball,15,,,,Walks,baseball_walks,1,11,2,equals,baseball_pitcher,
Baseball,17,,0.1,,Pop Time,baseball_pop_time,1,11,2,equals,baseball_catcher,
Baseball,18,,0.1,,Exit velo,baseball_exit_velo,1,11,2,,,
Baseball,19,,0.001,0.001,Batting Average,baseball_batting_average,1,11,2,,,
Baseball,20,,,,HRs,baseball_hrs,1,11,2,,,
Baseball,21,,0.0001,0.0001,OBP,baseball_obp,1,11,2,,,
Baseball,22,,,Total,Strikeouts,baseball_so,1,11,2,,,
Baseball,23,,0.1,K/9,Strikeouts (K/9),baseball_so_k9,1,11,2,,,
Baseball,24,,,,Stolen Bases,baseball_stolen_bases,1,11,2,,,
Baseball,25,,,,60 yard dash,baseball_60_yard_dash,1,11,2,,,
Baseball,26,,,,RAPSODO Member,baseball_rapsodo_member,0,6,1,,,
Baseball,27,,,,TRACKMAN Member,baseball_trackman_member,0,6,1,,,
Baseball,28,,,,BLAST Member,baseball_blast_member,0,6,1,,,
Basketball,28,,'#\' ##\'\'',,Wingspan,basketball_wingspan,1,11,2,,,
Basketball,30,,'#\' ##\'\'',,Standing Reach,basketball_standing_reach,1,11,2,,,
Basketball,31,,,in,Vertical,basketball_vertical,1,11,2,,,
Basketball,32,,0.1,,Points Per Game,basketball_points_per_game,1,11,2,,,
Basketball,33,,0.1,,Assists Per Game,basketball_assists_per_game,1,11,2,,,
Basketball,34,,0.1,,Rebounds Per Game,basketball_rebounds_per_game,1,11,2,,,
Basketball,35,,0.1,,Steals Per Game,basketball_steals_per_game,1,11,2,,,
Basketball,36,,0.1,,Blocks Per Game,basketball_blocks_per_game,1,11,2,,,
Basketball,38,,,%,Free Throw,basketball_field_throw_percentage,1,11,2,,,
Football,37,,,%,Field Goal,football_field_goal_percentage,1,11,2,,,
Football,42,,0.01,sec,40 Time,football_40_time,1,11,2,,,
Football,43,,,lbs,Bench Press,football_bench_press,1,11,2,,,
Football,44,,,in,Vertical,football_vertical,1,11,2,,,
Football,45,,0.01,sec,3 Cone Drill,football_three_cone_drill,1,11,2,,,
Football,46,,0.01,sec,20 Yard Shuttle,football_twenty_yard_shuttle,1,11,2,,,
Tennis,47,,,,Dominate Hand,tennis_dominate_hand,1,5,5,,,"Right,Left,Ambidextrous"
Tennis,48,,0.1,,USTA Ranking,tennis_usta_ranking,1,11,2,,,
Tennis,49,,,,Star Recruit,tennis_star_recruit,1,4,4,,,"1 Star,2 Star,3 Star,4 Star,5 Star"
Soccer,51,,,,Starter,soccer_starter_or_non_starter,1,5,5,,,
Soccer,52,,,,Goals,soccer_goals,1,11,2,does not equal,soccer_goalkeeper,
Soccer,53,,,,Assists,soccer_assists,1,11,2,does not equal,soccer_goalkeeper,
Soccer,54,,,,Shots on Goal,soccer_shots_on_goal,1,11,2,does not equal,soccer_goalkeeper,
Soccer,55,,,%,Shots on Goal,soccer_shots_on_goal_percentage,1,11,2,does not equal,soccer_goalkeeper,
Soccer,56,,,,Pass Completion,soccer_pass_completion,1,11,2,does not equal,soccer_goalkeeper,
Soccer,57,,,,50/50 balls won,soccer_5050_balls_won,1,11,2,does not equal,soccer_goalkeeper,
Soccer,59,,,,Saves,soccer_saves,1,11,2,equals,soccer_goalkeeper,
Soccer,60,,,%,Save,soccer_save_percentage,1,11,2,equals,soccer_goalkeeper,
Soccer,61,,,,Shutouts,soccer_shutouts,1,11,2,equals,soccer_goalkeeper,
Soccer,62,,,,Time Played,soccer_time_played,1,11,2,equals,soccer_goalkeeper,